"","name_ganz","Geldgebende","Ertrag_2018_CHF","LastN.x","Betrag_CHF","Vorname","Titel","Funktion","Fakultät"
"179","Seifritz, Erich","Roche",0,"Seifritz",1e+05,"Erich","Dr. med.","Ord. Professor für Psychiatrie","MEF"
"180","Senti, Gabriela","HypoPet AG",260000,"Senti",260000,"",NA,NA,"MEF"
"181","Shanahan, Lilly","Jacobs Foundation",150000,"Shanahan",150000,"Lilly","Dr.","Ausserord. Professorin für Klinische Entwicklungspsychologie","PHF"
"182","Shanahan, Michael J.","Jacobs Foundation",450000,"Shanahan",450000,"Michael J.","Dr.","Ord. Professor für Soziologie der Entwicklung von Kindern und Jugendlichen","PHF"
"183","Shimizu, Kentaro","Béatrice Ederer-Weber Stiftung",0,"Shimizu",1e+05,"Kentaro","Dr.","Ord. Professor für Evolutionäre und Ökologische Genomik","MNF"
"184","Shimizu, Kentaro","Japan Science and Technology Agency",234865,"Shimizu",229963,"Kentaro","Dr.","Ord. Professor für Evolutionäre und Ökologische Genomik","MNF"
"185","Shimizu, Kentaro","Hochschule für Agrar-, Forst- und Lebensmittelwissen-schaften HAFL",115000,"Shimizu",119183,"Kentaro","Dr.","Ord. Professor für Evolutionäre und Ökologische Genomik","MNF"
"186","Sidler, Xaver","Rupromi Swiss Schwein AG und Micarna SA",1e+05,"Sidler",125000,"Xaver","Dr. med. vet. FVH","Ausserord. Professor für Schweinemedizin","VSF"
"187","Soluyanov, Alexey","NCCR Schweizerischer Nationalfonds (SNF)",798,"Soluyanov",112682,"",NA,NA,"MNF"
"188","Stephan, Roger","Schlachtbetrieb Zürich AG (SBZ)",40000,"Stephan",440000,"Roger","Dr. med. vet., Dekan der Vetsuisse-Fakultät","Ord. Professor für Tierärztliche Lebensmittelsicherheit und -hygiene","VSF"
"189","Steurer, Johann","Horten-Stiftung",280000,"Steurer",280000,"Johann","Dr. med.","Ausserord. Professor für Innere Medizin, speziell praxisorientierte Forschung und Wissenstransfer","MEF"
"190","Stippich, Christoph","Promedica Stiftung",0,"Stippich",280000,"Christoph","Dr.","Ord. Professor für Neuroradiologie","MEF"
"191","Stockmann, Christian","Stiftung Krebsforschung Schweiz",0,"Stockmann",366000,"Christian","Dr.","Assistenzprofessor für Molekulare Medizin in der Anatomie","MEF"
"192","Straumann, Dominik","Swiss Concussion Center
Schulthess Klinik",157000,"Straumann",214800,"Dominik","Dr. med.","Ausserord. Professor für Neurologie","MEF"
"193","Sulser, Tullio","Stiftung Krebsforschung Schweiz",121000,"Sulser",362800,"Tullio","Dr.","Ord. Professor für Urologie","MEF"
"194","Sven, Jan","Bundesamt für Gesundheit BAG",80000,"Sven",1e+05,"",NA,NA,"MEF"
"195","Templin, Christian","Sheikh Khalifa / Stiftung für Herz- und Kreislaufforschung",207000,"Templin",207000,"Christian","Dr. med.","Assistenzprofessor für Akute Kardiologie, Sheikh Khalifa Stiftungsprofessur","MEF"
"196","Thali, Michael","lnnosuisse",0,"Thali",172803,"Michael","Dr.","Ord. Professor für Rechtsmedizin","MEF"
"197","Universität Zürich","Stavros Niarchos Foundation",4e+05,"Universität Zürich",1200000,"",NA,NA,"andere"
"198","Universität Zürich","Monique Dornonville de la Cour - Stiftung (via UZH Foundation)",57900,"Universität Zürich",1250000,"",NA,NA,"andere"
"199","Universität Zürich","Anonym",1e+05,"Universität Zürich",1e+05,"",NA,NA,"andere"
"200","Universität Zürich","Alfred und Bertha Zangger-Weber Stiftung",130000,"Universität Zürich",130000,"",NA,NA,"andere"
"201","Universität Zürich","Schweizerische Stiftung für die Förderung von Austausch und Mobilität SFAM / Movetia",1196272,"Universität Zürich",1480740,"",NA,NA,"andere"
"202","Universität Zürich","Werner Siemens-Stiftung (via UZH Foundation)",762000,"Universität Zürich",10670000,"",NA,NA,"andere"
"203","Universität Zürich","swissuniversities",687628,"Universität Zürich",687628,"",NA,NA,"andere"
"204","Universität Zürich","Anonym",50000,"Universität Zürich",1e+05,"",NA,NA,"andere"
"205","van den Broek, Maries","Worldwide Cancer Research",15337,"van den Broek",260000,"Maries","Dr.","Ausserord. Professorin für Experimentelle Immunologie","MEF"
"206","Vieli, Andreas","Institute of Tibetan Plateau Research (ITP)Chinese Academy of Science",168714,"Vieli",550536,"Andreas","Dr.","Ausserord. Professor für Physische Geographie","MNF"
"207","Vieli, Andreas","ESA",0,"Vieli",190400,"Andreas","Dr.","Ausserord. Professor für Physische Geographie","MNF"
"208","Vieli, Andreas","swissuniversities",1e+05,"Vieli",390000,"Andreas","Dr.","Ausserord. Professor für Physische Geographie","MNF"
"209","von Eckardstein, Arnold","Schweizerische Herzstiftung",1e+05,"von Eckardstein",1e+05,"Arnold","Dr. med.","Ord. Professor für Klinische Chemie","MEF"
"210","von Eckardstein, Arnold","Peter und Traudl Engelhorn Stiftung",108639,"von Eckardstein",219452,"Arnold","Dr. med.","Ord. Professor für Klinische Chemie","MEF"
"211","von Känel, Roland","Stiftung Krebsforschung Schweiz",54000,"von Känel",108050,"Roland","Dr.","Ord. Professor für Konsiliar-/Liaisonpsychiatrie und Psychosomatik","MEF"
"212","von Känel, Roland","Stiftung Krebsforschung Schweiz",73800,"von Känel",147500,"Roland","Dr.","Ord. Professor für Konsiliar-/Liaisonpsychiatrie und Psychosomatik","MEF"
"213","von Rechenberg, Brigitte","Light for Sight Foundation",35000,"von Rechenberg",780000,"",NA,NA,"VSF"
"214","von Rechenberg, Brigitte","lnnosuisse",0,"von Rechenberg",272823,"",NA,NA,"VSF"
"215","von Rechenberg, Brigitte","Stiftung Pro Pferd",80000,"von Rechenberg",160000,"",NA,NA,"VSF"
"216","von Rechenberg, Brigitte","Insel Gruppe AG",251658,"von Rechenberg",251658,"",NA,NA,"VSF"
"217","Voth, Hans-Joachim","UBS Foundation
of Economics in Society",1e+06,"Voth",1e+06,"Hans-Joachim","Dr.","Ord. Professor für Makroökonomik und Finanzmärkte, gestiftet vom UBS International Center of Economics in Society","WWF"
"218","Walitza, Susanne","Ebnet-Stiftung",65000,"Walitza",130000,"Susanne","Dr. med., Dipl. - Psych","Ord. Professorin für Kinder- und Jugendpsychiatrie","MEF"
"219","Weber, Bruno","Stephan und Viktoria Schmidheiny Stiftung
(via UZH Foundation)",250000,"Weber",250000,"Bruno","Dr.","Ausserord. Professor für Multimodale experimentelle Bildgebung","MEF"
"220","Weder, Walter","Stiftung Krebsforschung Schweiz",100700,"Weder",251600,"Walter","Dr. med.","Ausserord. Professor für Thoraxchirurgie","MEF"
"221","Weishaupt, Michael","Qualisys AB",36651,"Weishaupt",142900,"",NA,NA,"VSF"
"222","Weishaupt, Michael","State Secretariat for Education Research and Innovation SERI",128139,"Weishaupt",172578,"",NA,NA,"VSF"
"223","Winkelmann, Rainer","Karr Legat",104000,"Winkelmann",104000,"Rainer","Dr. oec. publ.","Ord. Professor für Statistik und Empirische Wirtschaftsforschung","WWF"
"224","Wipf, Peter","Scholar Support Fund",50000,"Wipf",1e+05,"",NA,NA,"RWF"
"225","Wolf, Martin","lnnosuisse",95632,"Wolf",173164,"Martin","Dr.","Ausserord. Professor für Biomedizinische Optik","MEF"
"226","Zenz, Maja","Fondation ISREC",140000,"Zenz",180000,"",NA,NA,"MEF"
"227","Zenz, Maja","Fondation ISREC",140000,"Zenz",180000,"",NA,NA,"MEF"
"228","Zimmermann, Roland","Kommission für Technologie und Innovation KTI",142421,"Zimmermann",178027,"Roland","Dr. med.","Ord. Professor für Geburtshilfe","MEF"
"229","Zimmermann, Roland","Pregnolia AG",80000,"Zimmermann",120000,"Roland","Dr. med.","Ord. Professor für Geburtshilfe","MEF"
"230","Zinkernagel, Annelies","Promedica Stiftung",140000,"Zinkernagel",280000,"Annelies","Dr. med. PhD, MSc","Assistenzprofessorin für Experimentelle Infektiologie","MEF"
"231","Zipfel, Cyril","BBSRC",31857,"Zipfel",196475.5,"Cyril","Dr.","Ord. Professor für Molekulare und Zelluläre Pflanzenphysiologie","MNF"
"232","Zölitz, Ulf","Jacobs Foundation",125000,"Zölitz",125000,"Ulf","Dr.","Assistenzprofessor für Ökonomik der Kinder- und Jugendentwicklung","WWF"
