"","name_ganz","Geldgebende","Ertrag_2018_CHF","LastN.x","Betrag_CHF","Vorname","Titel","Funktion","Fakultät"
"71","Hämmerle, Christoph","Dentsply IH AB",180000,"Hämmerle",360000,"Christoph","Dr. med. dent.","Ord. Professor für Kronen- und Brückenprothetik, Teilprothetik und zahnärztliche Materialkunde","MEF"
"72","Hämmerle, Christoph","Geistlich Pharma AG",82719,"Hämmerle",160842,"Christoph","Dr. med. dent.","Ord. Professor für Kronen- und Brückenprothetik, Teilprothetik und zahnärztliche Materialkunde","MEF"
"73","Hämmerle, Christoph","Henry Schein Inc.",35000,"Hämmerle",150000,"Christoph","Dr. med. dent.","Ord. Professor für Kronen- und Brückenprothetik, Teilprothetik und zahnärztliche Materialkunde","MEF"
"74","Helled, Ravit","NCCR Schweizerischer Nationalfonds (SNF)",127098,"Helled",636000,"Ravit","Dr.","Ausserord. Professorin für Theoretische Astrophysik","MNF"
"75","Helled, Ravit","NCCR Schweizerischer Nationalfonds (SNF)",86810,"Helled",330000,"Ravit","Dr.","Ausserord. Professorin für Theoretische Astrophysik","MNF"
"76","Helled, Ravit","NCCR Schweizerischer Nationalfonds (SNF)",139418,"Helled",403000,"Ravit","Dr.","Ausserord. Professorin für Theoretische Astrophysik","MNF"
"77","Hémous, David","UBS Foundation
of Economics in Society",1300000,"Hémous",1300000,"David","Dr.","Assistenzprofessor für Ökonomik der Innovation und des Unternehmertums, gestiftet vom UBS International Center of Economics in Society","WWF"
"78","Hens, Thorsten","P & K Pühringer Gemeinnützige Stiftung",88117,"Hens",174800,"Thorsten","Dr.","Ord. Professor für Finanzmarktökonomie","WWF"
"79","Hodler, Jürg","Bayer (Schweiz) AG",3e+05,"Hodler",3e+05,"Jürg","Dr. med.","Ord. Professor für Diagnostische und Interventionelle Radiologie","MEF"
"80","Hoerstrup, Simon","Dutch Heart Foundation (via TU Eindhoven)",262027,"Hoerstrup",366301.6,"Simon","Dr. med. PhD","Ord. Professor für Regenerative Medizin","MEF"
"81","Holland, Jason Philip","Stiftung Krebsforschung Schweiz",55000,"Holland",330000,"",NA,NA,"MNF"
"82","Hottiger, Michael O.","Marlis Geiser-Lemken Stiftung",50000,"Hottiger",1e+05,"Michael O.","Dr. met. vet. et Dr. phil. II","Ord. Professor für Biochemie und Molekularbiologie","VSF"
"83","Huber, Alexander","Zürcher Stiftung für das Hören",73000,"Huber",230000,"Alexander","Dr. med.","Ord. Professor für Otorhinolaryngologie, Hals- und Gesichtschirurgie","MEF"
"84","Huber, Alexander","MED-EL
Elektromedizinische Geräte GmbH",19720,"Huber",109900,"Alexander","Dr. med.","Ord. Professor für Otorhinolaryngologie, Hals- und Gesichtschirurgie","MEF"
"85","Huber, Alexander","lnnosuisse",0,"Huber",657575,"Alexander","Dr. med.","Ord. Professor für Otorhinolaryngologie, Hals- und Gesichtschirurgie","MEF"
"86","Hutter, Jürg","NCCR Schweizerischer Nationalfonds (SNF)",55173,"Hutter",142500,"Jürg","Dr. phil.","Ord. Professor für Physikalische Chemie","MNF"
"87","Imthurn, Bruno","lnnosuisse",0,"Imthurn",375095,"Bruno","Dr. med.","Ord. Professor für Gynäkologische Endokrinologie und Reproduktionsmedizin","MEF"
"88","Indiveri, Giacomo","Toshiba Corporation",142680,"Indiveri",142680,"Giacomo","Dr.","Ausserord. Professor für Neuroinformatik","MNF"
"89","Indiveri, Giacomo","Howard Hughes Medical Institute Janelia Research Campus",57255,"Indiveri",116242,"Giacomo","Dr.","Ausserord. Professor für Neuroinformatik","MNF"
"90","Indiveri, Giacomo","Samsung Electronics Co., Ltd. (SAIT)",594840,"Indiveri",1199966,"Giacomo","Dr.","Ausserord. Professor für Neuroinformatik","MNF"
"91","Jäncke, Lutz","Privatklinik Clienia Littenheid AG",111676,"Jäncke",360825,"Lutz","Dr.","Ord. Professor für Neuropsychologie","PHF"
"92","Jäncke, Lutz","Zürcher Stiftung für das Hören",149942,"Jäncke",149942,"Lutz","Dr.","Ord. Professor für Neuropsychologie","PHF"
"93","Jarren, Otfried","vhw - Bundesverband für Wohnen und Stadtentwicklung e.V.",60950,"Jarren",121900,"",NA,NA,"PHF"
"94","Jessberger, Sebastian","Dr. Eric Slack-Gyr Stiftung",280000,"Jessberger",280000,"Sebastian","Dr.","Ord. Professor für Neurowissenschaften","MEF"
"95","Jetzer, Philippe","ESA",38000,"Jetzer",153500,"Philippe","Dr.","Ausserord. Professor für Physik","MNF"
"96","Jinek, Martin","NCCR Schweizerischer Nationalfonds (SNF)",38513,"Jinek",250000,"Martin","Dr.","Ausserord. Professor für Biochemie","MEF"
"97","Keller, Kristina Hildegard","Emma-Luise-Kessler-Fonds",220000,"Keller",220000,"",NA,NA,"PHF"
"98","Keller, Lukas","Gran Paradiso National Park",119030,"Keller",229600,"Lukas","Dr.","Ord. Professor für Evolutionsbiologie","MNF"
"99","Klohs, Jan","Synapsis",1e+05,"Klohs",2e+05,"Jan","Dr.","Assistenzprofessor für präklinische Bildgebung","MEF"
"100","Kollias, Spyridon","ZHAW Zürcher Hochschule für Angewandte Wissenschaften",0,"Kollias",109181,"",NA,NA,"MEF"
"101","Kratzer, Adelgunde","Swiss Gemmological Institute",103398,"Kratzer",103398,"",NA,NA,"MEF"
"102","Kratzer, Adelgunde","Kuratorium Emma-Louise Kessler Fonds",113476,"Kratzer",113476,"",NA,NA,"MEF"
"103","Kübler, Daniel","Stadt Aarau",785000,"Kübler",785000,"Daniel","Dr. ès. sc. politiques","Ord. Professor für Demokratieforschung und Public Governance","PHF"
"104","Kullak-Ublick, Gerd-Achim","EPha.ch AG",142951,"Kullak-Ublick",142951,"Gerd-Achim","Dr. med.","Ord. Professor für Klinische Pharmakologie und Toxikologie","MEF"
"105","Kündig, Thomas","Monique Dornonville de la Cour - Stiftung",256000,"Kündig",256000,"Thomas","Dr. med.","Ausserord. Professor für Immundermatologie","MEF"
"106","Laine, Anna-Liisa","Ambassade du Royaume d'Arabie Saoudite",25000,"Laine",1e+05,"Anna-Liisa","Dr.","Ord. Professorin für Ökologie","MNF"
"107","Langer, Nicolas","VELUX STIFTUNG",71000,"Langer",206000,"Nicolas","Dr.","Assistenzprofessor für Methoden der Plastizitätsforschung","PHF"
"108","Leippold, Markus","Vontobel-Stiftung",5e+05,"Leippold",5e+05,"Markus","Dr. oec. HSG","Ord. Professor für Financial Engineering","WWF"
"109","Lichand, Guilherme","Excellence Foundation Zurich for Economic and Social Research",2e+05,"Lichand",2e+05,"Guilherme","Dr.","Assistenzprofessor für Ökonomik der Kinderwohlfahrt und Entwicklung, unterstützt von UNICEF Schweiz","WWF"
"110","Lichand, Guilherme","Excellence Foundation Zürich",272554,"Lichand",408832,"Guilherme","Dr.","Assistenzprofessor für Ökonomik der Kinderwohlfahrt und Entwicklung, unterstützt von UNICEF Schweiz","WWF"
"111","Lichand, Guilherme","Jacobs Foundation",2e+05,"Lichand",338118,"Guilherme","Dr.","Assistenzprofessor für Ökonomik der Kinderwohlfahrt und Entwicklung, unterstützt von UNICEF Schweiz","WWF"
"112","Liesegang, Annette","Royal Canin (Schweiz) AG",94000,"Liesegang",141000,"Annette","Dr.","Ord. Professorin für Tierernährung","VSF"
"113","Liptay, Fabienne","Fonds National de la Recherche Luxembourg",48472,"Liptay",141650.88,"Fabienne","Dr.","Ausserord. Professorin für Filmwissenschaft","PHF"
"114","Loetz, Francisca","Verein ""500 Jahre Zürcher Reformation""",50000,"Loetz",350000,"Francisca","Dr.","Ord. Professorin für Allgemeine Geschichte der Neuzeit","PHF"
"115","Lopes, Massimo","Associazione Italiana per la Ricerca sul Cancro",0,"Lopes",126560,"Massimo","Dr.","Ausserord. Professor für Molekulare Krebsforschung","MEF"
"116","Löwe, Christiane","swissuniversities",42667,"Löwe",128000,"",NA,NA,"andere"
"117","Luft, Andreas","P & K Pühringer Gemeinnützige Stiftung",1e+06,"Luft",1e+06,"Andreas","Dr. med.","Ausserord. Professor für Neurorehabilitation und Zerebrovaskuläre Neurologie, gestiftet von der P & K Pühringer Gemeinnützige Stiftung","MEF"
"118","Maake, Caroline","NOMIS Stiftung",130000,"Maake",130000,"",NA,NA,"MEF"
"119","Maake, Caroline","State Secretariat for Education Research and Innovation SERI",469406,"Maake",586757,"",NA,NA,"MEF"
"120","Mächler, Hans","Bundesamt für Gesundheit BAG",2e+05,"Mächler",387556,"",NA,NA,"VSF"
"121","Manz, Markus","ImmunOs Therapeutics AG",135000,"Manz",135000,"Markus","Dr.","Ord. Professor für Hämatologie","MEF"
"122","Manz, Markus","Stiftung Krebsforschung Schweiz",49100,"Manz",245450,"Markus","Dr.","Ord. Professor für Hämatologie","MEF"
"123","Martin, Mike","Mercator Stiftung",625000,"Martin",2580000,"Mike","Dr.","Ord. Professor für Gerontopsychologie","PHF"
"124","Martin, Mike","ETH Zürich",2e+05,"Martin",225000,"Mike","Dr.","Ord. Professor für Gerontopsychologie","PHF"
"125","Martin, Nicolas","Mercator Stiftung",396666.666666667,"Martin",396666.666666667,"Nicolas","Dr.","Assistenzprofessor für Moderne Indologie / Südasienwissenschaft, Mercator-Professur für Moderne Indologie / Südasienwissenschaft","PHF"
"126","Mayer, Lucio","NCCR Schweizerischer Nationalfonds (SNF)",171935,"Mayer",477000,"Lucio","Dr.","Ausserord. Professor für Computergestützte Astrophysik","MNF"
"127","Medalia, Ohad","Baugarten Stiftung (via UZH Foundation)",8e+05,"Medalia",8e+05,"Ohad","Dr.","Ord. Professor für Biochemie","MEF"
"128","Medalia, Ohad","Georg und Bertha Schwyzer-Winiker Stiftung (via UZH Foundation)",2e+05,"Medalia",2e+05,"Ohad","Dr.","Ord. Professor für Biochemie","MEF"
"129","Mehl, Albert Christof","Sirona Dental Systems GmbH",208333.333333333,"Mehl",208333.333333333,"Albert Christof","Dr.","Ausserord. Professor für computergestützte restaurative Zahnmedizin","MEF"
"130","Moch, Holger","Stiftung Krebsforschung Schweiz",125000,"Moch",125000,"Holger","Dr. med.","Ord. Professor für Pathologie","MEF"
"131","Moore, Ben","NCCR Schweizerischer Nationalfonds (SNF)",133997,"Moore",575000,"Ben","Dr.","Ord. Professor für Theoretische Physik","MNF"
"132","Münz, Christian","Vontobel-Stiftung",57546,"Münz",115092,"Christian","Dr.","Ord. Professor für Experimentelle Immunologie","MEF"
"133","Münz, Christian","Swiss Vaccine Research Institute Foundation",150000,"Münz",150000,"Christian","Dr.","Ord. Professor für Experimentelle Immunologie","MEF"
"134","Münz, Christian","Stiftung Krebsforschung Schweiz",62000,"Münz",372000,"Christian","Dr.","Ord. Professor für Experimentelle Immunologie","MEF"
"135","Nombela, Arrieta César","Horten-Stiftung",160000,"Nombela",160000,"",NA,NA,"MEF"
"136","Oberauer, Klaus","Bundesamt für Zivilluftfahrt BAZL",0,"Oberauer",510834,"Klaus","Dr.","Ord. Professor für Allgemeine Psychologie mit dem Schwerpunkt Kognitive Psychologie","PHF"
"137","Ossa, Ralph","UBS Foundation
of Economics in Society",1300000,"Ossa",1300000,"Ralph","Dr.","Ord. Professor für Ökonomik der Globalisierung und der Schwellenländer, gestiftet vom UBS International Center of Economics in Society","WWF"
"138","Paneni, Francesco","Sheikh Khalifa / Stiftung für Herz- und Kreislaufforschung",207000,"Paneni",207000,"Francesco","Dr.","Assistenzprofessor für Regenerative Kardiovaskuläre Medizin, Sheikh Khalifa Stiftungsprofessur","MEF"
"139","Paul, Mitchell","Stiftung Krebsforschung Schweiz",62500,"Paul",250000,"",NA,NA,"MEF"
"140","Paul, Mitchell","lnnosuisse",338533,"Paul",677066,"",NA,NA,"MEF"
"141","Paul, Mitchell","Roche",130000,"Paul",390000,"",NA,NA,"MEF"
