;Var.1;LastN;Vorname;Titel;Funktion;Fakultät;Lehrveranstaltungen;Var.8;name_ganz
304;NA;Brunner;Damian;Dr.;Ord. Professor für Molekularbiologie;MNF;Link;NA;Brunner, Damian
305;NA;Buch;Thorsten;Dr.;Ord. Professor für Labortierkunde;VSF;Link;NA;Buch, Thorsten
306;NA;Bucher;Hugo;Dr.;Ord. Professor für Paläozoologie;MNF;Link;NA;Bucher, Hugo
307;NA;Büchler;Andrea;Dr.;Ord. Professorin für Privatrecht und Rechtsvergleichung;RWF;Link;NA;Büchler, Andrea
308;NA;Caflisch;Amedeo;Dr. sc. nat.;Ord. Professor für Computergestützte Strukturbiologie;MNF;Link;NA;Caflisch, Amedeo
309;NA;Canelli;Florencia;Dr.;Ord. Professorin für Experimentalphysik;MNF;Link;NA;Canelli, Florencia
310;NA;Caramani;Daniele;Dr.;Ord. Professor für Vergleichende Politik;PHF;Link;NA;Caramani, Daniele
311;NA;Cardelle Gonzalez;Maria del Carmen;Dr.;Ord. Professorin für Lateinische Philologie des Mittelalters und der Neuzeit sowie Historische Hilfswissenschaften;PHF;Link;NA;Cardelle Gonzalez, Maria del Carmen
312;NA;Cattaneo;Alberto S.;Dr.;Ord. Professor für Mathematik;MNF;Link;NA;Cattaneo, Alberto S.
313;NA;Cheneval;Francis;Dr. phil.;Ord. Professor für Politische Philosophie;PHF;Link;NA;Cheneval, Francis
314;NA;Chesney;Marc;Dr.;Ord. Professor für Quantitative Finance;WWF;Link;NA;Chesney, Marc
315;NA;Chiavacci;David;Dr.;Ord. Professor für sozialwissenschaftliche Japanologie;PHF;Link;NA;Chiavacci, David
316;NA;Clavien;Pierre-Alain;Dr. med.;Ord. Professor für Viszeral- und Transplantationschirurgie;MEF;Link;NA;Clavien, Pierre-Alain
317;NA;Condrau;Flurin;Dr.;Ord. Professor für Medizingeschichte;MEF;Link;NA;Condrau, Flurin
318;NA;Conti;Elena;Dr.;Ord. Professorin für Evolutionäre Pflanzenbiologie;MNF;Link;NA;Conti, Elena
319;NA;Crawford;Gregory S.;Dr.;Ord. Professor für Applied Microeconomics;WWF;Link;NA;Crawford, Gregory S.
320;NA;Criblez;Lucien;Dr. phil.;Ord. Professor für Pädagogik mit Schwerpunkt Historische Bildungsforschung und Steuerung des Bildungssystems;PHF;Link;NA;Criblez, Lucien
321;NA;Crivelli Speciale;Tatiana;Dr. phil.;Ord. Professorin für Italienische Literaturwissenschaft;PHF;Link;NA;Crivelli Speciale, Tatiana
322;NA;Curt;Armin;Dr. med.;Ord. Professor für Paraplegiologie;MEF;Link;NA;Curt, Armin
323;NA;Daniel;Hans-Dieter;Dr., Ordinarius der ETH;Ord. Professor für Empirische Hochschulforschung;PHF;Link;NA;Daniel, Hans-Dieter
324;NA;Daum;Moritz;Dr.;Ord. Professor für Entwicklungspsychologie;PHF;Link;NA;Daum, Moritz
325;NA;De Lellis;Camillo;Dr.;Ord. Professor für Reine Mathematik;MNF;Link;NA;De Lellis, Camillo
326;NA;Della Casa;Philippe;Dr. phil.;Ord. Professor für Ur- und Frühgeschichte;PHF;Link;NA;Della Casa, Philippe
327;NA;Dennerlein;Bettina;Dr.;Ord. Professorin für Gender Studies und Islamwissenschaft;PHF;Link;NA;Dennerlein, Bettina
328;NA;Deplazes;Peter;Dr. med. vet.;Ord. Professor für Parasitologie;VSF;Link;NA;Deplazes, Peter
329;NA;Devuyst;Olivier;Dr.;Ord. Professor für Physiologie;MEF;Link;NA;Devuyst, Olivier
330;NA;Dietl;Helmut Max;Dr.;Ord. Professor für Services- und Operationsmanagement;WWF;Link;NA;Dietl, Helmut Max
331;NA;Diggelmann;Oliver;Dr. iur., LL.M.;Ord. Professor für Völkerrecht, Europarecht, Öffentliches Recht und Staatsphilosophie;RWF;Link;NA;Diggelmann, Oliver
332;NA;Distler;Oliver;Dr. med.;Ord. Professor für Rheumatologie;MEF;Link;NA;Distler, Oliver
333;NA;Domej;Tanja;Dr.;Ord. Professorin für Zivilverfahrensrecht, Privatrecht, Internationales Privatrecht und Rechtsvergleichung;RWF;Link;NA;Domej, Tanja
334;NA;Dorn;David;Dr.;Ord. Professor für International Trade and Labor Markets;WWF;Link;NA;Dorn, David
335;NA;Dummer;Reinhard;Dr. med.;Ord. Professor für Dermatologie;MEF;Link;NA;Dummer, Reinhard
336;NA;Dürscheid;Christa;Dr. phil.;Ord. Professorin für Deutsche Sprache, insbesondere Gegenwartssprache;PHF;Link;NA;Dürscheid, Christa
337;NA;Dutzler;Raimund;Dr.;Ord. Professor für Biochemie;MEF;Link;NA;Dutzler, Raimund
338;NA;Eberl;Leo;Dr.;Ord. Professor für Mikrobiologie;MNF;Link;NA;Eberl, Leo
339;NA;Ehlert;Ulrike;Dr. rer. nat.;Ord. Professorin für Klinische Psychologie;PHF;Link;NA;Ehlert, Ulrike
340;NA;Eigler;Ulrich;Dr.;Ord. Professor für Klassische Philologie, insbesondere Latein;PHF;Link;NA;Eigler, Ulrich
341;NA;Eisenegger;Mark;Dr.;"Ord. Professor für Publizistikwissenschaft mit dem Schwerpunkt ""Öffentlichkeit und Gesellschaft""";PHF;Link;NA;Eisenegger, Mark
342;NA;Eisner;Manuel;Dr.;Ord. Professor für Lebenslauf und Kriminalität;PHF;Link;NA;Eisner, Manuel
